,Address,Name,City State ZIP,ZIP,Number of Sites,Url,ZIP_str,FULL Address,latitude,longitude
492,"3308 Kehm Blvd.,",Maple Grove Estates,"Park City, IL",60085.0,613,https://www.mhvillage.com/parks/33821,60085.0,"3308 Kehm Blvd.,Park City, IL60085.0",,
493,"3308 Kehm Boulevard,",Farmington Estates,"Park City, IL",60085.0,225,https://www.mhvillage.com/parks/11674,60085.0,"3308 Kehm Boulevard,Park City, IL60085.0",,
494,"3308 Kehm Boulevard,",Midway Estates,"Park City, IL",60085.0,198,https://www.mhvillage.com/parks/10808,60085.0,"3308 Kehm Boulevard,Park City, IL60085.0",,
495,"331 S Morrison St,",Richmond Heights,"Centralia, IL",62801.0,Not found,https://www.mhvillage.com/parks/58017,62801.0,"331 S Morrison St,Centralia, IL62801.0",,
496,"3319 Ridgewood Avenue,",Prairie Grove,"Springfield, IL",62702.0,78,https://www.mhvillage.com/parks/11689,62702.0,"3319 Ridgewood Avenue,Springfield, IL62702.0",,
497,"333 Hillview Drive,",Hillview Mobile Home Park,"Princeton, IL",61356.0,78,https://www.mhvillage.com/parks/11662,61356.0,"333 Hillview Drive,Princeton, IL61356.0",,
498,"3333 290th Street North,",Sun Retreats Rock River,"Hillsdale, IL",61257.0,489,https://www.mhvillage.com/parks/105837,61257.0,"3333 290th Street North,Hillsdale, IL61257.0",,
499,"3337 E Carpenter St,",Johns Mobile Apts & Park,"Springfield, IL",62702.0,Not found,https://www.mhvillage.com/parks/57690,62702.0,"3337 E Carpenter St,Springfield, IL62702.0",,
500,"335 Warren Road,",Southern Mobile Home Park,"Carbondale, IL",62901.0,77,https://www.mhvillage.com/parks/10629,62901.0,"335 Warren Road,Carbondale, IL62901.0",,
501,"3355 75Thâ Ave,",Shady Lakes Campground,"New Windsor, IL",61465.0,342,https://www.mhvillage.com/parks/128140,61465.0,"3355 75Thâ Ave,New Windsor, IL61465.0",,
502,"338 North Amy Dr.,",Deluxe Lake Estates,"Bellevue, IL",61604.0,131,https://www.mhvillage.com/parks/28560,61604.0,"338 North Amy Dr.,Bellevue, IL61604.0",,
503,"340 Princeton Dr,",Villa Court Mobile Home Park,"Belleville, IL",62223.0,Not found,https://www.mhvillage.com/parks/11336,62223.0,"340 Princeton Dr,Belleville, IL62223.0",,
504,"3401 East Ridge Avenue,",Grant Mobile Home Park,"Springfield, IL",62702.0,90,https://www.mhvillage.com/parks/11265,62702.0,"3401 East Ridge Avenue,Springfield, IL62702.0",,
505,"3418 Kehm Boulevard,",Park City Manufactured Home Community,"Park City, IL",60085.0,641,https://www.mhvillage.com/parks/57237,60085.0,"3418 Kehm Boulevard,Park City, IL60085.0",,
506,"3430 Peoria Road,",Northbrook MHC,"Springfield, IL",62702.0,180,https://www.mhvillage.com/parks/11266,62702.0,"3430 Peoria Road,Springfield, IL62702.0",,
507,"3431 Seminary Street,",Glenwood,"Alton, IL",62002.0,63,https://www.mhvillage.com/parks/10924,62002.0,"3431 Seminary Street,Alton, IL62002.0",,
508,"3451 Ridge Avenue,",Willow Grove,"Springfield, IL",62702.0,97,https://www.mhvillage.com/parks/11294,62702.0,"3451 Ridge Avenue,Springfield, IL62702.0",,
509,"347 S Division St,",Sunset View Mh Park,"Harvard, IL",60033.0,Not found,https://www.mhvillage.com/parks/57866,60033.0,"347 S Division St,Harvard, IL60033.0",,
